ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,normalized_rating,normalized_price,Taste,Quality
938,jubilee hills,hyderabad,nue cafe,800,3.9,20,"pastas,snacks,salads,juices,sweets,bakery,beverages,continental,italian",jubilee hills,73,0.78,0.470588235,4.8,3.6
939,tolichowki,hyderabad,abu faisal restaurant arabian food,600,2.9,80,"indian,desserts",tolichowki,72,0.58,0.352941176,2.8,2.5
940,nallakunta & vidyanagar,hyderabad,rhm bakers,199,2.9,80,bakery  pizzas  fast food  beverages,nallakunta & vidyanagar,54,0.58,0.117058824,3.9,2.9
941,himayath nagar,hyderabad,southern flavours,350,4.1,20,"south indian,beverages,indian",himayath nagar,41,0.82,0.205882353,3.2,4.3
942,ameerpet,hyderabad,chandigarh patiala dhaba,350,2.9,80,north indian  sweets,begumpet,62,0.58,0.205882353,3.9,4.3
943,nallakunta & vidyanagar,hyderabad,arbab kitchen,280,2.9,80,"biryani,chinese,seafood",nallakunta & vidyanagar,45,0.58,0.164705882,4.1,4.4
944,nallakunta & vidyanagar,hyderabad,biryani trip,350,4.4,50,biryani,nallakunta & vidyanagar,39,0.88,0.205882353,4.6,3.4
945,nallakunta & vidyanagar,hyderabad,paratha envy,280,2.9,80,north indian,nallakunta & vidyanagar,40,0.58,0.164705882,3,3.4
946,nallakunta & vidyanagar,hyderabad,snack house,180,4.9,20,"fast food,snacks",nallakunta & vidyanagar,39,0.98,0.105882353,2.5,4.5
947,nallakunta & vidyanagar,hyderabad,momo monk,180,2.9,80,"chinese,snacks",nallakunta & vidyanagar,39,0.58,0.105882353,2.8,3.5
948,himayath nagar,hyderabad,h.s.kitchens chilli and garlic,300,2.9,80,fast food  desserts,himayath nagar,45,0.58,0.176470588,4.8,4.3
949,charminar,hyderabad,feel in saudia,200,2.9,80,"beverages,indian,lebanese",charminar,55,0.58,0.117647059,4.7,4
950,secunderabad,hyderabad,grab a bowl,200,2.9,80,north indian  south indian  healthy food  juices,secunderabad,74,0.58,0.117647059,4,3.4
951,tolichowki,hyderabad,treat on the street,250,2.9,80,"pizzas,fast food,pastas,snacks,italian,desserts,north indian,indian",tolichowki,75,0.58,0.147058824,4,2.7
952,banjara hills,hyderabad,shahi mandi,350,2.9,80,indian,banjara hills,39,0.58,0.205882353,4.2,2.8
953,himayath nagar,hyderabad,qaffeine coffee by ohri's,400,4.3,20,"beverages,desserts,snacks",himayath nagar,40,0.86,0.235294118,2.9,4.7
954,uppal,hyderabad,smoothie bar,300,2.9,80,beverages,uppal,64,0.58,0.176470588,4.8,3.6
955,uppal,hyderabad,homelyfit,300,2.9,80,healthy food  continental  indian  chinese,uppal,66,0.58,0.176470588,3.5,5
956,tolichowki,hyderabad,khiljis castle,250,2.9,80,"arabian,snacks,fast food",tolichowki,78,0.58,0.147058824,3.5,3.4
957,secunderabad,hyderabad,snack sutra,200,2.9,80,fast food  snacks  beverages,secunderabad,79,0.58,0.117647059,3.8,3.1
958,nallakunta & vidyanagar,hyderabad,hyderabadish,300,4.2,20,"indian,biryani,kebabs",kavadiguda,45,0.84,0.176470588,2.6,3.4
959,uppal,hyderabad,biryani zone,280,2.9,80,"biryani,chinese,indian,snacks,arabian,combo",uppal,69,0.58,0.164705882,2.9,3.4
960,kothapet & dilsukhnagar,hyderabad,ys mandi,400,2.9,80,"arabian,kebabs,biryani",kothapet & dilsukhnagar,44,0.58,0.235294118,4.3,4.1
961,charminar,hyderabad,eat n treat,250,2.9,80,sweets,charminar,45,0.58,0.147058824,2.7,2.5
962,kothapet & dilsukhnagar,hyderabad,guru raghavendra tiffins,100,2.9,80,"south indian,snacks,fast food,chaat",kothapet & dilsukhnagar,54,0.58,0.058823529,4,4.4
963,banjara hills,hyderabad,bistro bites,350,2.9,80,"fast food,pizzas,american",banjara hills,52,0.58,0.205882353,3.1,3.5
964,himayath nagar,hyderabad,te - a tea tradition,150,2.9,80,"beverages,snacks",himayath nagar,32,0.58,0.088235294,3.5,3.6
965,uppal,hyderabad,the sandwich box,300,2.9,80,"continental,snacks",uppal,69,0.58,0.176470588,3.2,3.7
966,uppal,hyderabad,kfc krishna food court,180,2.9,80,"indian,chinese",uppal,50,0.58,0.105882353,3.4,3.6
967,kothapet,hyderabad,eatfit,270,4,100,"healthy food,pizzas,north indian,thalis,biryani",beside metro station,57,0.8,0.158823529,4.3,3.7
968,mehdipatnam,hyderabad,labaan bakers and dairy,300,2.9,80,"italian,bakery",mehdipatnam,61,0.58,0.176470588,3.2,3.4
969,himayath nagar,hyderabad,new royal kitchen,200,2.9,80,italian  beverages,himayath nagar,46,0.58,0.117647059,3.9,3.6
