ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,normalized_rating,normalized_price
733,himayath nagar,hyderabad,ayezas kitchen,260.0,3.9,50,"indian,hyderabadi",himayath nagar,58,0.78,0.15294117647058825
734,nallakunta & vidyanagar,hyderabad,saravana udupi hotel,150.0,3.8,50,south indian,nallakunta & vidyanagar,46,0.76,0.08823529411764706
735,charminar,hyderabad,the mahboob biryani,1500.0,2.9,80,biryani,charminar,38,0.58,0.8823529411764706
736,charminar,hyderabad,mohammedi confectioners,150.0,3.5,50,"sweets,snacks",charminar,38,0.7,0.08823529411764706
737,kothapet & dilsukhnagar,hyderabad,new shahi naan,49.0,2.9,80,indian,kothapet & dilsukhnagar,34,0.58,0.028823529411764706
738,nampally,hyderabad,naseeb hotel,200.0,3.8,20,"indian,biryani",aghapura nampally,36,0.76,0.11764705882352941
739,banjara hills,hyderabad,shahi rasoi multicuisine family restaurant,750.0,4.1,50,"biryani,desserts,grill",hamayun nagar near nmdc,50,0.82,0.4411764705882353
740,charminar,hyderabad,burgersuncle,300.0,2.9,80,"american,italian,indian",charminar,50,0.58,0.17647058823529413
741,banjara hills,hyderabad,tasco bakery,350.0,4.2,20,"bakery,desserts,snacks",banjara hills,49,0.8400000000000001,0.20588235294117646
742,banjara hills,hyderabad,just bake banjarahills,150.0,2.9,80,bakery  desserts  fast food,banjara hills,68,0.58,0.08823529411764706
743,uppal,hyderabad,cafe de gardenia,360.0,2.9,80,chinese  indian  biryani,uppal,74,0.58,0.21176470588235294
744,santoshnagar & saidabad,hyderabad,kings pizza hut,200.0,2.9,80,continental,santoshnagar & saidabad,58,0.58,0.11764705882352941
745,himayath nagar,hyderabad,a.m.tiffin centre,150.0,4.1,50,south indian,himayath nagar,29,0.82,0.08823529411764706
746,kothapet & dilsukhnagar,hyderabad,hotel swagath,200.0,4.4,100,north indian,kothapet & dilsukhnagar,43,0.8800000000000001,0.11764705882352941
747,himayath nagar,hyderabad,roll it up,300.0,3.2,20,"fast food,snacks,italian,chinese,beverages",himayath nagar,32,0.64,0.17647058823529413
748,charminar,hyderabad,fancy ice cream,40.0,2.9,80,ice cream  desserts,charminar,44,0.58,0.023529411764705882
749,nallakunta & vidyanagar,hyderabad,arabian mandi house,420.0,2.9,80,arabian,nallakunta & vidyanagar,48,0.58,0.24705882352941178
750,himayath nagar,hyderabad,i creamy cafe,200.0,2.9,80,north indian,himayath nagar,52,0.58,0.11764705882352941
751,uppal,hyderabad,sv food court,149.0,2.9,80,"chinese,biryani",uppal,67,0.58,0.08764705882352941
752,somajiguda & khairtabad,hyderabad,dostea,300.0,2.9,80,beverages  fast food,somajiguda & khairtabad,56,0.58,0.17647058823529413
753,ameerpet,hyderabad,rayudu juice shop,120.0,4.8,50,juices  beverages  ice cream,ameerpet,63,0.96,0.07058823529411765
754,santoshnagar & saidabad,hyderabad,s v food court,200.0,2.9,80,chinese,santoshnagar & saidabad,52,0.58,0.11764705882352941
755,himayath nagar,hyderabad,bake zone bakery&lounge,300.0,2.9,80,"desserts,fast food",himayath nagar,40,0.58,0.17647058823529413
756,begumpet,hyderabad,ice cream corner,200.0,2.9,80,indian,prakash nagar,72,0.58,0.11764705882352941
757,nallakunta & vidyanagar,hyderabad,al saud bait al mandi,250.0,4.0,100,arabian,nallakunta & vidyanagar,34,0.8,0.14705882352941177
758,nallakunta & vidyanagar,hyderabad,chinese fast food,250.0,2.9,80,chinese,nallakunta & vidyanagar,37,0.58,0.14705882352941177
759,himayath nagar,hyderabad,fish oh fish,400.0,2.9,80,"biryani,tandoor,mughlai",ashok nagar,38,0.58,0.23529411764705882
760,somajiguda & khairtabad,hyderabad,mahalaxmi tiffin centre,250.0,4.4,20,"south indian,snacks",aghapura,35,0.8800000000000001,0.14705882352941177
761,banjara hills,hyderabad,royal biryani kabab juice,200.0,2.9,80,"juices,salads",banjara hills,55,0.58,0.11764705882352941
762,himayath nagar,hyderabad,nice day baquares and ice creams,100.0,2.9,80,chinese,himayath nagar,38,0.58,0.058823529411764705
763,nallakunta & vidyanagar,hyderabad,bachchu s chaat by phulkaas,200.0,2.9,80,"chaat,snacks",nallakunta & vidyanagar,39,0.58,0.11764705882352941
764,charminar,hyderabad,ms mandi and shawarma,240.0,4.1,50,indian,charminar,39,0.82,0.1411764705882353
765,kothapet & dilsukhnagar,hyderabad, sahadeva reddy's biryani durbar,250.0,4.1,50,"biryani,chinese,indian",kothapet & dilsukhnagar,45,0.82,0.14705882352941177
766,himayath nagar,hyderabad,mast kalandar  the kitchen,300.0,3.8,20,north indian,himayath nagar,32,0.76,0.17647058823529413
767,himayath nagar,hyderabad,the joint shawarma,400.0,4.0,20,indian,himayath nagar,32,0.8,0.23529411764705882
768,nampally,hyderabad,sunrise tiffins bakery and fastfood,200.0,2.9,80,"continental,ice cream,bakery,beverages",nampally,40,0.58,0.11764705882352941
769,santoshnagar & saidabad,hyderabad,pista house restaurant,500.0,4.1,500,"tandoor,indian,chinese,biryani,beverages",santoshnagar & saidabad,48,0.82,0.29411764705882354
770,nallakunta & vidyanagar,hyderabad,inti ruchi,200.0,4.2,50,indian,nallakunta & vidyanagar,48,0.8400000000000001,0.11764705882352941
771,charminar,hyderabad,italian hub,250.0,2.9,80,"european,american,chinese",charminar,45,0.58,0.14705882352941177
772,kothapet & dilsukhnagar,hyderabad,hasrat catering india,300.0,2.9,80,indian,kothapet & dilsukhnagar,46,0.58,0.17647058823529413
773,somajiguda & khairtabad,hyderabad,biryanis and more,350.0,3.9,100,"biryani,chinese,tandoor",somajiguda & khairtabad,49,0.78,0.20588235294117646
774,himayath nagar,hyderabad,wahh chaap,300.0,4.1,500,"north indian,biryani",himayath nagar,31,0.82,0.17647058823529413
775,kothapet & dilsukhnagar,hyderabad,potful - claypot biryanis,500.0,4.0,500,"biryani,kebabs,mughlai,north indian",kothapet & dilsukhnagar,77,0.8,0.29411764705882354
776,kothapet & dilsukhnagar,hyderabad,wah! kulcha,200.0,3.7,20,fast food,kothapet & dilsukhnagar,77,0.74,0.11764705882352941
777,himayath nagar,hyderabad,vinayak tiffins,100.0,2.9,80,south indian,himayath nagar,33,0.58,0.058823529411764705
778,kothapet & dilsukhnagar,hyderabad,lalaji dilli wale chaat,300.0,2.9,80,"chaat,fast food,maharashtrian,beverages",kothapet & dilsukhnagar,66,0.58,0.17647058823529413
779,kothapet & dilsukhnagar,hyderabad,the country wok,400.0,3.5,100,"chinese,beverages",kothapet & dilsukhnagar,63,0.7,0.23529411764705882
780,banjara hills,hyderabad,sher-e-punjab dhaba,350.0,2.9,80,"indian,biryani",banjara hills,40,0.58,0.20588235294117646
781,nallakunta & vidyanagar,hyderabad,mamaz almandi,300.0,2.9,80,indian,nallakunta & vidyanagar,48,0.58,0.17647058823529413
782,himayath nagar,hyderabad,sunnys chinese,350.0,3.5,20,chinese,himayath nagar,31,0.7,0.20588235294117646
783,himayath nagar,hyderabad,a bowl affair,300.0,3.3,20,"indian,chinese,combo,beverages",himayath nagar,33,0.6599999999999999,0.17647058823529413
784,kothapet & dilsukhnagar,hyderabad,nalabheema kitchen,250.0,3.9,100,chinese,kothapet & dilsukhnagar,60,0.78,0.14705882352941177
785,santoshnagar & saidabad,hyderabad,ssv foods,180.0,2.9,80,snacks,santoshnagar & saidabad,53,0.58,0.10588235294117647
786,ameerpet,hyderabad,tiny foods homely food court,300.0,4.1,50,indian,ameerpet,76,0.82,0.17647058823529413
787,charminar,hyderabad,the kunafa station,300.0,3.9,100,desserts,charminar,39,0.78,0.17647058823529413
788,himayath nagar,hyderabad,swiss castle,500.0,4.6,100,"bakery,sweets,desserts",himayath nagar,28,0.9199999999999999,0.29411764705882354
789,kachiguda,hyderabad,hotel woodside (veg),200.0,4.5,100,south indian  north indian  chinese,himayath nagar,30,0.9,0.11764705882352941
790,tarnaka  nacharam & malkajigiri,hyderabad,cupcake bliss cake & desserts,200.0,4.0,20,bakery  desserts  ice cream,tarnaka  nacharam & malkajigiri,72,0.8,0.11764705882352941
791,santoshnagar & saidabad,hyderabad,anu tiffin center,150.0,3.9,20,south indian,santoshnagar & saidabad,47,0.78,0.08823529411764706
792,kothapet & dilsukhnagar,hyderabad,monster burger,200.0,3.2,20,"chinese,south indian,snacks,combo,beverages,desserts",kothapet & dilsukhnagar,75,0.64,0.11764705882352941
793,banjara hills,hyderabad,the clay pot,300.0,2.9,80,north indian,banjara hills,74,0.58,0.17647058823529413
794,ameerpet,hyderabad,milap pan shop,100.0,4.5,20,paan,ameerpet,67,0.9,0.058823529411764705
795,kothapet & dilsukhnagar,hyderabad,destino re defined,250.0,2.9,80,"chinese,indian,biryani",kothapet & dilsukhnagar,49,0.58,0.14705882352941177
796,kothapet & dilsukhnagar,hyderabad,milkshakes hub n more,300.0,2.9,80,beverages,kothapet & dilsukhnagar,68,0.58,0.17647058823529413
797,kothapet & dilsukhnagar,hyderabad,cake d'licious,250.0,3.9,100,"bakery,desserts",kothapet & dilsukhnagar,50,0.78,0.14705882352941177
798,nallakunta & vidyanagar,hyderabad,juice it up,150.0,2.9,80,chaat  beverages  juices,nallakunta & vidyanagar,48,0.58,0.08823529411764706
799,himayath nagar,hyderabad,haldirams,300.0,4.2,100,"indian,biryani,snacks,fast food,beverages",ground floor moti mahal market,33,0.8400000000000001,0.17647058823529413
800,himayath nagar,hyderabad,la pino'z pizza,400.0,4.0,500,"pizzas,italian,mexican,desserts,fast food,snacks",himayath nagar,33,0.8,0.23529411764705882
